Job Title_x,Job Description,Required Skills,Salary Range,Location,Company,Experience Level,Industry,Job Type,Date Posted,externalApplyLink,url,JobID,Job Description	,All,Job Title_y,KNN,TF-IDF,CV,Final
Web Application Specialist,Design e-commerce systems using Kubernetes and AWS for KMS Technology's machine learning models to enable real-time processing.,"AWS, Java, Kubernetes",58M VND/month - 71M VND/month,Remote,KMS Technology,Senior-Level,Software Development,Full-Time,10/12/2023,https://kms-technology.com/careers/,https://topdev.vn/viec-lam/web-application-specialist-kms-technology-tai-da-nang-9157121,11504,11504,"Web Application Specialist,Design e-commerce systems using Kubernetes and AWS for KMS Technology's machine learning models to enable real-time processing.,AWS, Java, Kubernetes,58M VND/month - 71M VND/month,Remote,KMS Technology,Senior-Level,Software Development,Full-Time,10/12/2023,https://kms-technology.com/careers/,https://topdev.vn/viec-lam/web-application-specialist-kms-technology-tai-da-nang-9157121,11504,11504",Web Application Specialist,0.13448295919531064,0.13448295919531064,0.016535504595063994,0.28550142298568526
Cybersecurity Analyst,Maintain web applications using Solidity and Python for KMS Technology's front-end frameworks to enhance user experience.,"Solidity, Java, Python",54M VND/month - 66M VND/month,Da Nang,KMS Technology,Senior-Level,Data Science,Full-Time,19/7/2023,https://kms-technology.com/careers/,https://itviec.com/viec-lam-it/full-stack-developer-net-reactjs-tma-solutions-1942,11641,11641,"Cybersecurity Analyst,Maintain web applications using Solidity and Python for KMS Technology's front-end frameworks to enhance user experience.,Solidity, Java, Python,54M VND/month - 66M VND/month,Da Nang,KMS Technology,Senior-Level,Data Science,Full-Time,19/7/2023,https://kms-technology.com/careers/,https://itviec.com/viec-lam-it/full-stack-developer-net-reactjs-tma-solutions-1942,11641,11641",Cybersecurity Analyst,0.07573225180056713,0.07573225180056713,0.09072535817260174,0.242189861773736
Web Application Specialist,Enhance real-time data platforms using Kubernetes and Java for KMS Technology's data pipelines to ensure scalability.,"Python, Kubernetes, Java, Spring Boot",26M VND/month - 40M VND/month,Hanoi,KMS Technology,Entry-Level,Artificial Intelligence,Contract-Type,24/8/2023,https://kms-technology.com/careers/,https://itviec.com/viec-lam-it/senior-java-developer-fpt-software-2055,12045,12045,"Web Application Specialist,Enhance real-time data platforms using Kubernetes and Java for KMS Technology's data pipelines to ensure scalability.,Python, Kubernetes, Java, Spring Boot,26M VND/month - 40M VND/month,Hanoi,KMS Technology,Entry-Level,Artificial Intelligence,Contract-Type,24/8/2023,https://kms-technology.com/careers/,https://itviec.com/viec-lam-it/senior-java-developer-fpt-software-2055,12045,12045",Web Application Specialist,0.045170300450266154,0.0451703004502663,0.1471510566177535,0.23749165751828594
AI Engineer,Architect cloud-based solutions using AWS and Java for KMS Technology's cloud infrastructure to enhance user experience.,"Java, AWS, Kubernetes, Python",30M VND/month - 38M VND/month,Ho Chi Minh City,KMS Technology,Entry-Level,Artificial Intelligence,Full-Time,6/5/2023,https://kms-technology.com/careers/,https://itviec.com/viec-lam-it/ai-engineer-kms-technology-3384,12426,12426,"AI Engineer,Architect cloud-based solutions using AWS and Java for KMS Technology's cloud infrastructure to enhance user experience.,Java, AWS, Kubernetes, Python,30M VND/month - 38M VND/month,Ho Chi Minh City,KMS Technology,Entry-Level,Artificial Intelligence,Full-Time,6/5/2023,https://kms-technology.com/careers/,https://itviec.com/viec-lam-it/ai-engineer-kms-technology-3384,12426,12426",AI Engineer,0.08760465385666016,0.08760465385666016,0.07824530711489193,0.25345461482821224
AI Engineer,Develop financial services using Java and Azure for KMS Technology's serverless functions to support business growth.,"Azure, Node.js, Java",40M VND/month - 51M VND/month,Hanoi,KMS Technology,Mid-Level,Data Science,Full-Time,3/9/2023,https://kms-technology.com/careers/,https://topdev.vn/viec-lam/ai-engineer-kms-technology-tai-da-nang-1928496,13268,13268,"AI Engineer,Develop financial services using Java and Azure for KMS Technology's serverless functions to support business growth.,Azure, Node.js, Java,40M VND/month - 51M VND/month,Hanoi,KMS Technology,Mid-Level,Data Science,Full-Time,3/9/2023,https://kms-technology.com/careers/,https://topdev.vn/viec-lam/ai-engineer-kms-technology-tai-da-nang-1928496,13268,13268",AI Engineer,0.003626968550403712,0.0036269685504035643,0.03607332381885472,0.04332726091966199
AI Engineer,Design real-time data platforms using GraphQL and AWS for KMS Technology's IoT integrations to increase security.,"AWS, GraphQL",15M VND/month - 25M VND/month,Remote,KMS Technology,Entry-Level,Data Science,Full-Time,16/12/2023,https://kms-technology.com/careers/,https://itviec.com/viec-lam-it/ai-engineer-kms-technology-6930,13272,13272,"AI Engineer,Design real-time data platforms using GraphQL and AWS for KMS Technology's IoT integrations to increase security.,AWS, GraphQL,15M VND/month - 25M VND/month,Remote,KMS Technology,Entry-Level,Data Science,Full-Time,16/12/2023,https://kms-technology.com/careers/,https://itviec.com/viec-lam-it/ai-engineer-kms-technology-6930,13272,13272",AI Engineer,0.018944679665081548,0.018944679665081548,0.09927778978648967,0.13716714911665276
Senior Web Developer,Lead AI-driven tools using Java and React for KMS Technology's machine learning models to drive innovation.,"Java, React",28M VND/month - 34M VND/month,Hanoi,KMS Technology,Entry-Level,Data Science,Full-Time,21/10/2023,https://kms-technology.com/careers/,https://itviec.com/viec-lam-it/devops-engineer-cmc-global-1723,14035,14035,"Senior Web Developer,Lead AI-driven tools using Java and React for KMS Technology's machine learning models to drive innovation.,Java, React,28M VND/month - 34M VND/month,Hanoi,KMS Technology,Entry-Level,Data Science,Full-Time,21/10/2023,https://kms-technology.com/careers/,https://itviec.com/viec-lam-it/devops-engineer-cmc-global-1723,14035,14035",Senior Web Developer,0.014216725925120244,0.01421672592512054,0.07954749243698227,0.10798094428722305
Java Developer,Implement AI-driven tools using React and Redux for KMS Technology's serverless functions to enhance user experience.,"Java, Redux, React",58M VND/month - 68M VND/month,Hanoi,KMS Technology,Senior-Level,Data Science,Full-Time,1/11/2024,https://kms-technology.com/careers/,https://topdev.vn/viec-lam/cloud-engineer-viettel-solutions-tai-ha-noi-2043654,15181,15181,"Java Developer,Implement AI-driven tools using React and Redux for KMS Technology's serverless functions to enhance user experience.,Java, Redux, React,58M VND/month - 68M VND/month,Hanoi,KMS Technology,Senior-Level,Data Science,Full-Time,1/11/2024,https://kms-technology.com/careers/,https://topdev.vn/viec-lam/cloud-engineer-viettel-solutions-tai-ha-noi-2043654,15181,15181",Java Developer,0.027308906074873462,0.027308906074873462,0.07095747370581318,0.1255752858555601
Full Stack Web Engineer,Lead real-time data platforms using Generative AI and Microservices for KMS Technology's machine learning models to enable real-time processing.,"Microservices, AWS, Golang, Generative AI",23M VND/month - 30M VND/month,Hanoi,KMS Technology,Entry-Level,Cybersecurity,Full-Time,27/1/2024,https://kms-technology.com/careers/,https://itviec.com/viec-lam-it/full-stack-developer-net-reactjs-tma-solutions-1942,15989,15989,"Full Stack Web Engineer,Lead real-time data platforms using Generative AI and Microservices for KMS Technology's machine learning models to enable real-time processing.,Microservices, AWS, Golang, Generative AI,23M VND/month - 30M VND/month,Hanoi,KMS Technology,Entry-Level,Cybersecurity,Full-Time,27/1/2024,https://kms-technology.com/careers/,https://itviec.com/viec-lam-it/full-stack-developer-net-reactjs-tma-solutions-1942,15989,15989",Full Stack Web Engineer,0.018990678017485035,0.018990678017485035,0.0653157709808833,0.10329712701585336
Java Developer,Enhance AI-driven tools using Python and AWS for KMS Technology's machine learning models to streamline operations.,"Generative AI, Python, AWS, Spring Boot",32M VND/month - 47M VND/month,Ho Chi Minh City,KMS Technology,Mid-Level,Software Development,Contract-Type,14/6/2024,https://kms-technology.com/careers/,https://www.vietnamworks.com/viec-lam/java-developer-kms-technology-6447593,16108,16108,"Java Developer,Enhance AI-driven tools using Python and AWS for KMS Technology's machine learning models to streamline operations.,Generative AI, Python, AWS, Spring Boot,32M VND/month - 47M VND/month,Ho Chi Minh City,KMS Technology,Mid-Level,Software Development,Contract-Type,14/6/2024,https://kms-technology.com/careers/,https://www.vietnamworks.com/viec-lam/java-developer-kms-technology-6447593,16108,16108",Java Developer,0.005612177006501777,0.005612177006502073,0.009673517009587703,0.020897871022591552
AI Engineer,Enhance web applications using Python and Azure for KMS Technology's machine learning models to enhance user experience.,"Azure, Python",57M VND/month - 69M VND/month,Ho Chi Minh City,KMS Technology,Senior-Level,Web Development,Full-Time,13/5/2024,https://kms-technology.com/careers/,https://www.vietnamworks.com/viec-lam/java-web-developer-tai-ha-noi-1612345-en,16179,16179,"AI Engineer,Enhance web applications using Python and Azure for KMS Technology's machine learning models to enhance user experience.,Azure, Python,57M VND/month - 69M VND/month,Ho Chi Minh City,KMS Technology,Senior-Level,Web Development,Full-Time,13/5/2024,https://kms-technology.com/careers/,https://www.vietnamworks.com/viec-lam/java-web-developer-tai-ha-noi-1612345-en,16179,16179",AI Engineer,0.15249205619181497,0.15249205619181527,0.1521337235809943,0.4571178359646245
Cybersecurity Specialist,Design microservices architecture using PyTorch and Next.js for KMS Technology's machine learning models to enhance user experience.,"Next.js, Spring Boot, PyTorch, Quantum Computing",21M VND/month - 30M VND/month,Remote,KMS Technology,Entry-Level,Data Science,Contract-Type,8/1/2025,https://kms-technology.com/careers/,https://topdev.vn/viec-lam/ai-engineer-vinai-tai-ho-chi-minh-2043541,19809,19809,"Cybersecurity Specialist,Design microservices architecture using PyTorch and Next.js for KMS Technology's machine learning models to enhance user experience.,Next.js, Spring Boot, PyTorch, Quantum Computing,21M VND/month - 30M VND/month,Remote,KMS Technology,Entry-Level,Data Science,Contract-Type,8/1/2025,https://kms-technology.com/careers/,https://topdev.vn/viec-lam/ai-engineer-vinai-tai-ho-chi-minh-2043541,19809,19809",Cybersecurity Specialist,0.3333333333333333,0.3333333333333333,0.09072535817260204,0.7573920248392687
AI Specialist,Design financial services using Jenkins and AWS for KMS Technology's machine learning models to enable real-time processing.,"Python, Jenkins, AWS",42M VND/month - 55M VND/month,Hanoi,KMS Technology,Mid-Level,Data Science,Full-Time,19/2/2025,https://kms-technology.com/careers/,https://www.vietnamworks.com/viec-lam/full-stack-developer-tai-tp-hcm-1623456-en,19903,19903,"AI Specialist,Design financial services using Jenkins and AWS for KMS Technology's machine learning models to enable real-time processing.,Python, Jenkins, AWS,42M VND/month - 55M VND/month,Hanoi,KMS Technology,Mid-Level,Data Science,Full-Time,19/2/2025,https://kms-technology.com/careers/,https://www.vietnamworks.com/viec-lam/full-stack-developer-tai-tp-hcm-1623456-en,19903,19903",AI Specialist,0.035359681510880016,0.03535968151088017,0.05963134946905176,0.13035071249081195
